"","gene_symbol","accession","description","fasta_title_lines","ensembl_gene_id"
"1","Ttn","A2ASS6","Titin OS=Mus musculus OX=10090 GN=Ttn PE=1 SV=1",">sp|A2ASS6|TITIN_MOUSE Titin OS=Mus musculus OX=10090 GN=Ttn PE=1 SV=1","ENSMUSG00000051747"
"2226","Rps14","P62264","40S ribosomal protein S14 OS=Mus musculus OX=10090 GN=Rps14 PE=1 SV=3",">sp|P62264|RS14_MOUSE 40S ribosomal protein S14 OS=Mus musculus OX=10090 GN=Rps14 PE=1 SV=3","ENSMUSG00000024608"
"2227","Ciapin1","Q8WTY4","Anamorsin OS=Mus musculus OX=10090 GN=Ciapin1 PE=1 SV=1",">sp|Q8WTY4|CPIN1_MOUSE Anamorsin OS=Mus musculus OX=10090 GN=Ciapin1 PE=1 SV=1","ENSMUSG00000031781"
"2228","Aprt","P08030","Adenine phosphoribosyltransferase OS=Mus musculus OX=10090 GN=Aprt PE=1 SV=2",">sp|P08030|APT_MOUSE Adenine phosphoribosyltransferase OS=Mus musculus OX=10090 GN=Aprt PE=1 SV=2","ENSMUSG00000006589"
"2229","Septin8","B7ZC46","Septin OS=Mus musculus OX=10090 GN=Septin8 PE=1 SV=1",">tr|B7ZC46|B7ZC46_MOUSE Septin OS=Mus musculus OX=10090 GN=Septin8 PE=1 SV=1","ENSMUSG00000018398"
"2230","Mcts1","Q9DB27","Malignant T-cell-amplified sequence 1 OS=Mus musculus OX=10090 GN=Mcts1 PE=1 SV=1",">sp|Q9DB27|MCTS1_MOUSE Malignant T-cell-amplified sequence 1 OS=Mus musculus OX=10090 GN=Mcts1 PE=1 SV=1","ENSMUSG00000000355"
"2231","Otub1","Q7TQI3","Ubiquitin thioesterase OTUB1 OS=Mus musculus OX=10090 GN=Otub1 PE=1 SV=2",">sp|Q7TQI3|OTUB1_MOUSE Ubiquitin thioesterase OTUB1 OS=Mus musculus OX=10090 GN=Otub1 PE=1 SV=2","ENSMUSG00000024767"
"2232","Cul4a","Q3TCH7","Cullin-4A OS=Mus musculus OX=10090 GN=Cul4a PE=1 SV=1",">sp|Q3TCH7|CUL4A_MOUSE Cullin-4A OS=Mus musculus OX=10090 GN=Cul4a PE=1 SV=1","ENSMUSG00000031446"
"2233","Celf2","S4R1S7","CUGBP Elav-like family member 2 OS=Mus musculus OX=10090 GN=Celf2 PE=1 SV=1",">tr|S4R1S7|S4R1S7_MOUSE CUGBP Elav-like family member 2 OS=Mus musculus OX=10090 GN=Celf2 PE=1 SV=1","ENSMUSG00000002107"
"2234","Mrtfb","G3X8R8","Myocardin-related transcription factor B OS=Mus musculus OX=10090 GN=Mrtfb PE=1 SV=1",">tr|G3X8R8|G3X8R8_MOUSE Myocardin-related transcription factor B OS=Mus musculus OX=10090 GN=Mrtfb PE=1 SV=1","ENSMUSG00000009569"
"2235","Scaf11","E9PZM7","SR-related CTD-associated factor 11 OS=Mus musculus OX=10090 GN=Scaf11 PE=1 SV=1",">tr|E9PZM7|E9PZM7_MOUSE SR-related CTD-associated factor 11 OS=Mus musculus OX=10090 GN=Scaf11 PE=1 SV=1","ENSMUSG00000033228"
"2236","Mrpl39","Q9JKF7","39S ribosomal protein L39, mitochondrial OS=Mus musculus OX=10090 GN=Mrpl39 PE=1 SV=4",">sp|Q9JKF7|RM39_MOUSE 39S ribosomal protein L39, mitochondrial OS=Mus musculus OX=10090 GN=Mrpl39 PE=1 SV=4","ENSMUSG00000022889"
"2237","Hhatl","Q9D1G3","Protein-cysteine N-palmitoyltransferase HHAT-like protein OS=Mus musculus OX=10090 GN=Hhatl PE=1 SV=2",">sp|Q9D1G3|HHATL_MOUSE Protein-cysteine N-palmitoyltransferase HHAT-like protein OS=Mus musculus OX=10090 GN=Hhatl PE=1 SV=2","ENSMUSG00000032523"
"2238","Chchd6","Q91VN4","MICOS complex subunit Mic25 OS=Mus musculus OX=10090 GN=Chchd6 PE=1 SV=2",">sp|Q91VN4|MIC25_MOUSE MICOS complex subunit Mic25 OS=Mus musculus OX=10090 GN=Chchd6 PE=1 SV=2","ENSMUSG00000030086"
"2239","Pcyt2","Q922E4","Ethanolamine-phosphate cytidylyltransferase OS=Mus musculus OX=10090 GN=Pcyt2 PE=1 SV=1",">sp|Q922E4|PCY2_MOUSE Ethanolamine-phosphate cytidylyltransferase OS=Mus musculus OX=10090 GN=Pcyt2 PE=1 SV=1","ENSMUSG00000025137"
"2240","Nars","A0A498WGK2","Asparagine--tRNA ligase OS=Mus musculus OX=10090 GN=Nars PE=1 SV=1",">tr|A0A498WGK2|A0A498WGK2_MOUSE Asparagine--tRNA ligase OS=Mus musculus OX=10090 GN=Nars PE=1 SV=1","ENSMUSG00000024587"
"2241","Popdc2","Q9ES82","Popeye domain-containing protein 2 OS=Mus musculus OX=10090 GN=Popdc2 PE=1 SV=1",">sp|Q9ES82|POPD2_MOUSE Popeye domain-containing protein 2 OS=Mus musculus OX=10090 GN=Popdc2 PE=1 SV=1","ENSMUSG00000022803"
"2242","Arfgef1","G3X9K3","Brefeldin A-inhibited guanine nucleotide-exchange protein 1 OS=Mus musculus OX=10090 GN=Arfgef1 PE=1 SV=1",">sp|G3X9K3|BIG1_MOUSE Brefeldin A-inhibited guanine nucleotide-exchange protein 1 OS=Mus musculus OX=10090 GN=Arfgef1 PE=1 SV=1","ENSMUSG00000067851"
"2243","Prpf4b","Q61136","Serine/threonine-protein kinase PRP4 homolog OS=Mus musculus OX=10090 GN=Prpf4b PE=1 SV=3",">sp|Q61136|PRP4B_MOUSE Serine/threonine-protein kinase PRP4 homolog OS=Mus musculus OX=10090 GN=Prpf4b PE=1 SV=3","ENSMUSG00000021413"
"2244","Fah","P35505","Fumarylacetoacetase OS=Mus musculus OX=10090 GN=Fah PE=1 SV=2",">sp|P35505|FAAA_MOUSE Fumarylacetoacetase OS=Mus musculus OX=10090 GN=Fah PE=1 SV=2","ENSMUSG00000030630"
"2245","Lmcd1","Q8VEE1","LIM and cysteine-rich domains protein 1 OS=Mus musculus OX=10090 GN=Lmcd1 PE=1 SV=1",">sp|Q8VEE1|LMCD1_MOUSE LIM and cysteine-rich domains protein 1 OS=Mus musculus OX=10090 GN=Lmcd1 PE=1 SV=1","ENSMUSG00000057604"
"2246","Mpst","Q99J99","3-mercaptopyruvate sulfurtransferase OS=Mus musculus OX=10090 GN=Mpst PE=1 SV=4",">sp|Q99J99|THTM_MOUSE 3-mercaptopyruvate sulfurtransferase OS=Mus musculus OX=10090 GN=Mpst PE=1 SV=4","ENSMUSG00000071711"
"2247","Mef2d","Q63943","Myocyte-specific enhancer factor 2D OS=Mus musculus OX=10090 GN=Mef2d PE=1 SV=2",">sp|Q63943|MEF2D_MOUSE Myocyte-specific enhancer factor 2D OS=Mus musculus OX=10090 GN=Mef2d PE=1 SV=2","ENSMUSG00000001419"
"2248","Kif1b","A2AH75","Kinesin-like protein KIF1B OS=Mus musculus OX=10090 GN=Kif1b PE=1 SV=1",">tr|A2AH75|A2AH75_MOUSE Kinesin-like protein KIF1B OS=Mus musculus OX=10090 GN=Kif1b PE=1 SV=1","ENSMUSG00000063077"
"2249","Epn2","J3QNT7","Epsin-2 OS=Mus musculus OX=10090 GN=Epn2 PE=1 SV=1",">tr|J3QNT7|J3QNT7_MOUSE Epsin-2 OS=Mus musculus OX=10090 GN=Epn2 PE=1 SV=1","ENSMUSG00000001036"
"2250","Apc","B2RUG9","Adenomatosis polyposis coli OS=Mus musculus OX=10090 GN=Apc PE=1 SV=1",">tr|B2RUG9|B2RUG9_MOUSE Adenomatosis polyposis coli OS=Mus musculus OX=10090 GN=Apc PE=1 SV=1","ENSMUSG00000005871"
"2251","Reep5","G3X8R0","Receptor expression-enhancing protein OS=Mus musculus OX=10090 GN=Reep5 PE=1 SV=1",">tr|G3X8R0|G3X8R0_MOUSE Receptor expression-enhancing protein OS=Mus musculus OX=10090 GN=Reep5 PE=1 SV=1","ENSMUSG00000005873"
"2252","Slc25a22","Q9D6M3","Mitochondrial glutamate carrier 1 OS=Mus musculus OX=10090 GN=Slc25a22 PE=1 SV=1",">sp|Q9D6M3|GHC1_MOUSE Mitochondrial glutamate carrier 1 OS=Mus musculus OX=10090 GN=Slc25a22 PE=1 SV=1","ENSMUSG00000019082"
"2253","Alpl","P09242","Alkaline phosphatase, tissue-nonspecific isozyme OS=Mus musculus OX=10090 GN=Alpl PE=1 SV=2",">sp|P09242|PPBT_MOUSE Alkaline phosphatase, tissue-nonspecific isozyme OS=Mus musculus OX=10090 GN=Alpl PE=1 SV=2","ENSMUSG00000028766"
"2254","Aco2","A0A2R8VJW0","Aconitate hydratase, mitochondrial (Fragment) OS=Mus musculus OX=10090 GN=Aco2 PE=1 SV=1",">tr|A0A2R8VJW0|A0A2R8VJW0_MOUSE Aconitate hydratase, mitochondrial (Fragment) OS=Mus musculus OX=10090 GN=Aco2 PE=1 SV=1","ENSMUSG00000022477"
"2255","Ndufaf7","Q9CWG8","Protein arginine methyltransferase NDUFAF7, mitochondrial OS=Mus musculus OX=10090 GN=Ndufaf7 PE=1 SV=4",">sp|Q9CWG8|NDUF7_MOUSE Protein arginine methyltransferase NDUFAF7, mitochondrial OS=Mus musculus OX=10090 GN=Ndufaf7 PE=1 SV=4","ENSMUSG00000024082"
"2256","Abi3bp","Q59IW7","ABI family member 3-binding protein OS=Mus musculus OX=10090 GN=Abi3bp PE=1 SV=1",">tr|Q59IW7|Q59IW7_MOUSE ABI family member 3-binding protein OS=Mus musculus OX=10090 GN=Abi3bp PE=1 SV=1","ENSMUSG00000035258"
"2257","Fip1l1","Q9D824","Pre-mRNA 3'-end-processing factor FIP1 OS=Mus musculus OX=10090 GN=Fip1l1 PE=1 SV=1",">sp|Q9D824|FIP1_MOUSE Pre-mRNA 3'-end-processing factor FIP1 OS=Mus musculus OX=10090 GN=Fip1l1 PE=1 SV=1","ENSMUSG00000029227"
"2258","Nutf2","P61971","Nuclear transport factor 2 OS=Mus musculus OX=10090 GN=Nutf2 PE=1 SV=1",">sp|P61971|NTF2_MOUSE Nuclear transport factor 2 OS=Mus musculus OX=10090 GN=Nutf2 PE=1 SV=1","ENSMUSG00000008450; ENSMUSG00000071497"
"2259","Srsf10","Q3TFP0","Serine/arginine-rich-splicing factor 10 OS=Mus musculus OX=10090 GN=Srsf10 PE=1 SV=1",">tr|Q3TFP0|Q3TFP0_MOUSE Serine/arginine-rich-splicing factor 10 OS=Mus musculus OX=10090 GN=Srsf10 PE=1 SV=1","ENSMUSG00000028676"
"2260","Dut","Q8VCG1","Deoxyuridine 5'-triphosphate nucleotidohydrolase OS=Mus musculus OX=10090 GN=Dut PE=1 SV=1",">tr|Q8VCG1|Q8VCG1_MOUSE Deoxyuridine 5'-triphosphate nucleotidohydrolase OS=Mus musculus OX=10090 GN=Dut PE=1 SV=1","ENSMUSG00000027203"
"2261","Ppp3ca","P63328","Serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform OS=Mus musculus OX=10090 GN=Ppp3ca PE=1 SV=1",">sp|P63328|PP2BA_MOUSE Serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform OS=Mus musculus OX=10090 GN=Ppp3ca PE=1 SV=1","ENSMUSG00000028161"
"2262","Fam171a1","A2ATL0","Family with sequence similarity 171, member A1 OS=Mus musculus OX=10090 GN=Fam171a1 PE=1 SV=1",">tr|A2ATL0|A2ATL0_MOUSE Family with sequence similarity 171, member A1 OS=Mus musculus OX=10090 GN=Fam171a1 PE=1 SV=1","ENSMUSG00000050530"
"2263","Fars2","Q99M01","Phenylalanine--tRNA ligase, mitochondrial OS=Mus musculus OX=10090 GN=Fars2 PE=1 SV=1",">sp|Q99M01|SYFM_MOUSE Phenylalanine--tRNA ligase, mitochondrial OS=Mus musculus OX=10090 GN=Fars2 PE=1 SV=1","ENSMUSG00000021420"
"2264","Cavin3","Q91VJ2","Caveolae-associated protein 3 OS=Mus musculus OX=10090 GN=Cavin3 PE=1 SV=1",">sp|Q91VJ2|CAVN3_MOUSE Caveolae-associated protein 3 OS=Mus musculus OX=10090 GN=Cavin3 PE=1 SV=1","ENSMUSG00000037060"
"2265","Fn3k","Q9ER35","Fructosamine-3-kinase OS=Mus musculus OX=10090 GN=Fn3k PE=1 SV=1",">sp|Q9ER35|FN3K_MOUSE Fructosamine-3-kinase OS=Mus musculus OX=10090 GN=Fn3k PE=1 SV=1","ENSMUSG00000025175"
"2266","Tanc1","E9QAF9","Protein TANC1 OS=Mus musculus OX=10090 GN=Tanc1 PE=1 SV=1",">tr|E9QAF9|E9QAF9_MOUSE Protein TANC1 OS=Mus musculus OX=10090 GN=Tanc1 PE=1 SV=1","ENSMUSG00000035168"
"2267","Calm2","P0DP27","Calmodulin-2 OS=Mus musculus OX=10090 GN=Calm2 PE=1 SV=1",">sp|P0DP27|CALM2_MOUSE Calmodulin-2 OS=Mus musculus OX=10090 GN=Calm2 PE=1 SV=1;>sp|P0DP28|CALM3_MOUSE Calmodulin-3 OS=Mus musculus OX=10090 GN=Calm3 PE=1 SV=1;>sp|P0DP26|CALM1_MOUSE Calmodulin-1 OS=Mus musculus OX=10090 GN=Calm1 PE=1 SV=1","ENSMUSG00000001175; ENSMUSG00000019370; ENSMUSG00000036438"
"2268","Dock1","Q8BUR4","Dedicator of cytokinesis protein 1 OS=Mus musculus OX=10090 GN=Dock1 PE=1 SV=3",">sp|Q8BUR4|DOCK1_MOUSE Dedicator of cytokinesis protein 1 OS=Mus musculus OX=10090 GN=Dock1 PE=1 SV=3","ENSMUSG00000058325"
"2269","Pdxdc1","Q99K01","Pyridoxal-dependent decarboxylase domain-containing protein 1 OS=Mus musculus OX=10090 GN=Pdxdc1 PE=1 SV=2",">sp|Q99K01|PDXD1_MOUSE Pyridoxal-dependent decarboxylase domain-containing protein 1 OS=Mus musculus OX=10090 GN=Pdxdc1 PE=1 SV=2","ENSMUSG00000022680"
"2270","Coasy","Q9DBL7","Bifunctional coenzyme A synthase OS=Mus musculus OX=10090 GN=Coasy PE=1 SV=2",">sp|Q9DBL7|COASY_MOUSE Bifunctional coenzyme A synthase OS=Mus musculus OX=10090 GN=Coasy PE=1 SV=2","ENSMUSG00000001755"
"2271","Srpk3","Q9Z0G2","SRSF protein kinase 3 OS=Mus musculus OX=10090 GN=Srpk3 PE=1 SV=1",">sp|Q9Z0G2|SRPK3_MOUSE SRSF protein kinase 3 OS=Mus musculus OX=10090 GN=Srpk3 PE=1 SV=1","ENSMUSG00000002007"
"2272","Tsg101","Q61187","Tumor susceptibility gene 101 protein OS=Mus musculus OX=10090 GN=Tsg101 PE=1 SV=2",">sp|Q61187|TS101_MOUSE Tumor susceptibility gene 101 protein OS=Mus musculus OX=10090 GN=Tsg101 PE=1 SV=2","ENSMUSG00000014402"
"2273","Nploc4","P60670","Nuclear protein localization protein 4 homolog OS=Mus musculus OX=10090 GN=Nploc4 PE=1 SV=3",">sp|P60670|NPL4_MOUSE Nuclear protein localization protein 4 homolog OS=Mus musculus OX=10090 GN=Nploc4 PE=1 SV=3","ENSMUSG00000039703"
"2274","Gvin1","L7N451","Interferon-induced very large GTPase 1 OS=Mus musculus OX=10090 GN=Gvin1 PE=1 SV=1",">tr|L7N451|L7N451_MOUSE Interferon-induced very large GTPase 1 OS=Mus musculus OX=10090 GN=Gvin1 PE=1 SV=1","ENSMUSG00000045868"
"2275","Hmbs","P22907","Porphobilinogen deaminase OS=Mus musculus OX=10090 GN=Hmbs PE=1 SV=2",">sp|P22907|HEM3_MOUSE Porphobilinogen deaminase OS=Mus musculus OX=10090 GN=Hmbs PE=1 SV=2","ENSMUSG00000032126"
"2276","Mef2d","E9QKT0","Myocyte-specific enhancer factor 2D OS=Mus musculus OX=10090 GN=Mef2d PE=1 SV=1",">tr|E9QKT0|E9QKT0_MOUSE Myocyte-specific enhancer factor 2D OS=Mus musculus OX=10090 GN=Mef2d PE=1 SV=1","ENSMUSG00000001419"
"2277","Mmab","Q9D273","Corrinoid adenosyltransferase OS=Mus musculus OX=10090 GN=Mmab PE=1 SV=1",">sp|Q9D273|MMAB_MOUSE Corrinoid adenosyltransferase OS=Mus musculus OX=10090 GN=Mmab PE=1 SV=1","ENSMUSG00000029575"
"2278","Rabgap1","A2AWA9","Rab GTPase-activating protein 1 OS=Mus musculus OX=10090 GN=Rabgap1 PE=1 SV=1",">sp|A2AWA9|RBGP1_MOUSE Rab GTPase-activating protein 1 OS=Mus musculus OX=10090 GN=Rabgap1 PE=1 SV=1","ENSMUSG00000035437"
"2279","Rps11","P62281","40S ribosomal protein S11 OS=Mus musculus OX=10090 GN=Rps11 PE=1 SV=3",">sp|P62281|RS11_MOUSE 40S ribosomal protein S11 OS=Mus musculus OX=10090 GN=Rps11 PE=1 SV=3","ENSMUSG00000003429"
"2280","Tmx4","Q8C0L0","Thioredoxin-related transmembrane protein 4 OS=Mus musculus OX=10090 GN=Tmx4 PE=1 SV=2",">sp|Q8C0L0|TMX4_MOUSE Thioredoxin-related transmembrane protein 4 OS=Mus musculus OX=10090 GN=Tmx4 PE=1 SV=2","ENSMUSG00000034723"
"2281","Tubb1","A2AQ07","Tubulin beta-1 chain OS=Mus musculus OX=10090 GN=Tubb1 PE=1 SV=1",">sp|A2AQ07|TBB1_MOUSE Tubulin beta-1 chain OS=Mus musculus OX=10090 GN=Tubb1 PE=1 SV=1","ENSMUSG00000016255"
"2282","Stmn1","P54227","Stathmin OS=Mus musculus OX=10090 GN=Stmn1 PE=1 SV=2",">sp|P54227|STMN1_MOUSE Stathmin OS=Mus musculus OX=10090 GN=Stmn1 PE=1 SV=2","ENSMUSG00000028832"
"2283","Arhgap1","Q5FWK3","Rho GTPase-activating protein 1 OS=Mus musculus OX=10090 GN=Arhgap1 PE=1 SV=1",">sp|Q5FWK3|RHG01_MOUSE Rho GTPase-activating protein 1 OS=Mus musculus OX=10090 GN=Arhgap1 PE=1 SV=1","ENSMUSG00000027247"
"2284","Serpinb1a","Q9D154","Leukocyte elastase inhibitor A OS=Mus musculus OX=10090 GN=Serpinb1a PE=1 SV=1",">sp|Q9D154|ILEUA_MOUSE Leukocyte elastase inhibitor A OS=Mus musculus OX=10090 GN=Serpinb1a PE=1 SV=1","ENSMUSG00000044734"
"2285","Ppfibp2","G3X957","Liprin-beta-2 OS=Mus musculus OX=10090 GN=Ppfibp2 PE=1 SV=1",">tr|G3X957|G3X957_MOUSE Liprin-beta-2 OS=Mus musculus OX=10090 GN=Ppfibp2 PE=1 SV=1","ENSMUSG00000036528"
"2286","Nck1","Q99M51","Cytoplasmic protein NCK1 OS=Mus musculus OX=10090 GN=Nck1 PE=1 SV=1",">sp|Q99M51|NCK1_MOUSE Cytoplasmic protein NCK1 OS=Mus musculus OX=10090 GN=Nck1 PE=1 SV=1","ENSMUSG00000032475"
"2287","Sbk1","A0A5F8MPV4","Serine/threonine-protein kinase SBK1 (Fragment) OS=Mus musculus OX=10090 GN=Sbk1 PE=1 SV=2",">tr|A0A5F8MPV4|A0A5F8MPV4_MOUSE Serine/threonine-protein kinase SBK1 (Fragment) OS=Mus musculus OX=10090 GN=Sbk1 PE=1 SV=2","ENSMUSG00000042978"
"2288","Zc3h13","E9Q784","Zinc finger CCCH domain-containing protein 13 OS=Mus musculus OX=10090 GN=Zc3h13 PE=1 SV=1",">sp|E9Q784|ZC3HD_MOUSE Zinc finger CCCH domain-containing protein 13 OS=Mus musculus OX=10090 GN=Zc3h13 PE=1 SV=1","ENSMUSG00000022000"
"2289","Homer1","Q9Z2Y3","Homer protein homolog 1 OS=Mus musculus OX=10090 GN=Homer1 PE=1 SV=2",">sp|Q9Z2Y3|HOME1_MOUSE Homer protein homolog 1 OS=Mus musculus OX=10090 GN=Homer1 PE=1 SV=2","ENSMUSG00000007617"
"2290","Armc1","Q9D7A8","Armadillo repeat-containing protein 1 OS=Mus musculus OX=10090 GN=Armc1 PE=1 SV=1",">sp|Q9D7A8|ARMC1_MOUSE Armadillo repeat-containing protein 1 OS=Mus musculus OX=10090 GN=Armc1 PE=1 SV=1","ENSMUSG00000027599"
"2291","Stim1","P70302","Stromal interaction molecule 1 OS=Mus musculus OX=10090 GN=Stim1 PE=1 SV=2",">sp|P70302|STIM1_MOUSE Stromal interaction molecule 1 OS=Mus musculus OX=10090 GN=Stim1 PE=1 SV=2","ENSMUSG00000030987"
"2292","Sltm","Q8CH25","SAFB-like transcription modulator OS=Mus musculus OX=10090 GN=Sltm PE=1 SV=1",">sp|Q8CH25|SLTM_MOUSE SAFB-like transcription modulator OS=Mus musculus OX=10090 GN=Sltm PE=1 SV=1","ENSMUSG00000032212"
"2293","Timm29","Q8BGX2","Mitochondrial import inner membrane translocase subunit Tim29 OS=Mus musculus OX=10090 GN=Timm29 PE=1 SV=1",">sp|Q8BGX2|TIM29_MOUSE Mitochondrial import inner membrane translocase subunit Tim29 OS=Mus musculus OX=10090 GN=Timm29 PE=1 SV=1","ENSMUSG00000048429"
"2294","Col14a1","Q80X19","Collagen alpha-1(XIV) chain OS=Mus musculus OX=10090 GN=Col14a1 PE=1 SV=2",">sp|Q80X19|COEA1_MOUSE Collagen alpha-1(XIV) chain OS=Mus musculus OX=10090 GN=Col14a1 PE=1 SV=2","ENSMUSG00000022371"
"2295","H1-5","P43276","Histone H1.5 OS=Mus musculus OX=10090 GN=H1-5 PE=1 SV=2",">sp|P43276|H15_MOUSE Histone H1.5 OS=Mus musculus OX=10090 GN=H1-5 PE=1 SV=2","ENSMUSG00000058773"
"2296","Rars2","Q3U186","Probable arginine--tRNA ligase, mitochondrial OS=Mus musculus OX=10090 GN=Rars2 PE=1 SV=1",">sp|Q3U186|SYRM_MOUSE Probable arginine--tRNA ligase, mitochondrial OS=Mus musculus OX=10090 GN=Rars2 PE=1 SV=1","ENSMUSG00000028292"
"2297","Ssbp1","Q8R2K3","Single-stranded DNA-binding protein, mitochondrial OS=Mus musculus OX=10090 GN=Ssbp1 PE=1 SV=1",">tr|Q8R2K3|Q8R2K3_MOUSE Single-stranded DNA-binding protein, mitochondrial OS=Mus musculus OX=10090 GN=Ssbp1 PE=1 SV=1","ENSMUSG00000029911"
"2298","Ndufa4","Q62425","Cytochrome c oxidase subunit NDUFA4 OS=Mus musculus OX=10090 GN=Ndufa4 PE=1 SV=2",">sp|Q62425|NDUA4_MOUSE Cytochrome c oxidase subunit NDUFA4 OS=Mus musculus OX=10090 GN=Ndufa4 PE=1 SV=2","ENSMUSG00000029632"
"2299","Tmsb4x","P20065","Thymosin beta-4 OS=Mus musculus OX=10090 GN=Tmsb4x PE=1 SV=1",">sp|P20065|TYB4_MOUSE Thymosin beta-4 OS=Mus musculus OX=10090 GN=Tmsb4x PE=1 SV=1","ENSMUSG00000049775"
"2300","Hook3","Q8BUK6","Protein Hook homolog 3 OS=Mus musculus OX=10090 GN=Hook3 PE=1 SV=2",">sp|Q8BUK6|HOOK3_MOUSE Protein Hook homolog 3 OS=Mus musculus OX=10090 GN=Hook3 PE=1 SV=2","ENSMUSG00000037234"
"2301","Rpl23a","P62751","60S ribosomal protein L23a OS=Mus musculus OX=10090 GN=Rpl23a PE=1 SV=1",">sp|P62751|RL23A_MOUSE 60S ribosomal protein L23a OS=Mus musculus OX=10090 GN=Rpl23a PE=1 SV=1","ENSMUSG00000058546"
"2302","Pfdn2","O70591","Prefoldin subunit 2 OS=Mus musculus OX=10090 GN=Pfdn2 PE=1 SV=2",">sp|O70591|PFD2_MOUSE Prefoldin subunit 2 OS=Mus musculus OX=10090 GN=Pfdn2 PE=1 SV=2","ENSMUSG00000006412"
"2303","Scaf4","Q7TSH6","SR-related and CTD-associated factor 4 OS=Mus musculus OX=10090 GN=Scaf4 PE=1 SV=1",">sp|Q7TSH6|SCAF4_MOUSE SR-related and CTD-associated factor 4 OS=Mus musculus OX=10090 GN=Scaf4 PE=1 SV=1","ENSMUSG00000022983"
"2304","Htatsf1","Q8BGC0","HIV Tat-specific factor 1 homolog OS=Mus musculus OX=10090 GN=Htatsf1 PE=1 SV=1",">sp|Q8BGC0|HTSF1_MOUSE HIV Tat-specific factor 1 homolog OS=Mus musculus OX=10090 GN=Htatsf1 PE=1 SV=1","ENSMUSG00000067873"
"2305","Ttr","P07309","Transthyretin OS=Mus musculus OX=10090 GN=Ttr PE=1 SV=1",">sp|P07309|TTHY_MOUSE Transthyretin OS=Mus musculus OX=10090 GN=Ttr PE=1 SV=1","ENSMUSG00000061808"
"2306","Carhsp1","Q9CR86","Calcium-regulated heat stable protein 1 OS=Mus musculus OX=10090 GN=Carhsp1 PE=1 SV=1",">sp|Q9CR86|CHSP1_MOUSE Calcium-regulated heat stable protein 1 OS=Mus musculus OX=10090 GN=Carhsp1 PE=1 SV=1","ENSMUSG00000008393"
"2307","Parp1","P11103","Poly [ADP-ribose] polymerase 1 OS=Mus musculus OX=10090 GN=Parp1 PE=1 SV=3",">sp|P11103|PARP1_MOUSE Poly [ADP-ribose] polymerase 1 OS=Mus musculus OX=10090 GN=Parp1 PE=1 SV=3",""
"2308","Mief2","Q5NCS9","Mitochondrial dynamics protein MID49 OS=Mus musculus OX=10090 GN=Mief2 PE=1 SV=1",">sp|Q5NCS9|MID49_MOUSE Mitochondrial dynamics protein MID49 OS=Mus musculus OX=10090 GN=Mief2 PE=1 SV=1","ENSMUSG00000018599"
"2309","Pdxdc1","A0A0R4J034","Pyridoxal-dependent decarboxylase domain-containing protein 1 OS=Mus musculus OX=10090 GN=Pdxdc1 PE=1 SV=1",">tr|A0A0R4J034|A0A0R4J034_MOUSE Pyridoxal-dependent decarboxylase domain-containing protein 1 OS=Mus musculus OX=10090 GN=Pdxdc1 PE=1 SV=1","ENSMUSG00000022680"
"2310","Coro1a","O89053","Coronin-1A OS=Mus musculus OX=10090 GN=Coro1a PE=1 SV=5",">sp|O89053|COR1A_MOUSE Coronin-1A OS=Mus musculus OX=10090 GN=Coro1a PE=1 SV=5","ENSMUSG00000030707"
"2311","Nrdc","Q8BHG1","Nardilysin OS=Mus musculus OX=10090 GN=Nrdc PE=1 SV=1",">sp|Q8BHG1|NRDC_MOUSE Nardilysin OS=Mus musculus OX=10090 GN=Nrdc PE=1 SV=1","ENSMUSG00000053510"
"2312","Raly","A2AU61","RNA-binding protein Raly (Fragment) OS=Mus musculus OX=10090 GN=Raly PE=1 SV=1",">tr|A2AU61|A2AU61_MOUSE RNA-binding protein Raly (Fragment) OS=Mus musculus OX=10090 GN=Raly PE=1 SV=1","ENSMUSG00000027593"
"2313","Arhgef5","E9Q7D5","Rho guanine nucleotide exchange factor 5 OS=Mus musculus OX=10090 GN=Arhgef5 PE=1 SV=1",">sp|E9Q7D5|ARHG5_MOUSE Rho guanine nucleotide exchange factor 5 OS=Mus musculus OX=10090 GN=Arhgef5 PE=1 SV=1","ENSMUSG00000033542"
"2314","Rab5b","P61021","Ras-related protein Rab-5B OS=Mus musculus OX=10090 GN=Rab5b PE=1 SV=1",">sp|P61021|RAB5B_MOUSE Ras-related protein Rab-5B OS=Mus musculus OX=10090 GN=Rab5b PE=1 SV=1","ENSMUSG00000000711"
"2315","Tsc2","Q3UHB2","Tuberin OS=Mus musculus OX=10090 GN=Tsc2 PE=1 SV=1",">tr|Q3UHB2|Q3UHB2_MOUSE Tuberin OS=Mus musculus OX=10090 GN=Tsc2 PE=1 SV=1","ENSMUSG00000002496"
"2316","Agpat3","Q9D517","1-acyl-sn-glycerol-3-phosphate acyltransferase gamma OS=Mus musculus OX=10090 GN=Agpat3 PE=1 SV=2",">sp|Q9D517|PLCC_MOUSE 1-acyl-sn-glycerol-3-phosphate acyltransferase gamma OS=Mus musculus OX=10090 GN=Agpat3 PE=1 SV=2","ENSMUSG00000001211"
